"Question No.","Question Title","Difficulty Level","Tags","Language","Actual time","Question","Attachment name","User Response Acceptance"
"Q12","Fermentation Cell Choice","Medium","module 1","Assignment","30","Compare prokaryotic and eukaryotic cells using ChatGPT and justify which is better suited for rapid industrial fermentation (e.g., biofuel production). Submit a comparison table plus 150-word justification.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q13","Mars Survival Cell","Medium","module 1","Assignment","30","A NASA-style astrobiology brief asks which cell type would more plausibly survive on Mars' surface. Using ChatGPT, evaluate prokaryotic extremophiles versus eukaryotic candidates and defend your recommendation.","26BIP01_M1_Q13_Astrobiology_Brief.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q14","Antibiotic Test Speed","Medium","module 1","Assignment","30","A dairy company wants faster antibiotic-resistance testing. Using ChatGPT, justify why bacterial (prokaryotic) cell structure makes this testing feasible in hours rather than days needed for eukaryotic cultures.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q15","Unknown Cell Classify","Medium","module 1","Assignment","30","Given microscopy measurements of an unidentified cell sample (size, nucleoid vs nucleus, organelle presence), classify it as prokaryotic or eukaryotic and defend your classification with structural evidence, using ChatGPT to verify your reasoning.","26BIP01_M1_Q15_Unknown_Cell_Measurements.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q16","Cyanobacteria Bridge","Medium","module 1","Assignment","30","Evaluate, with ChatGPT's help, whether cyanobacteria should be considered an ""evolutionary bridge"" between prokaryotic and eukaryotic cells, given their oxygenic photosynthesis. Submit a justified position statement.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q17","Vaccine Expression System","Medium","module 1","Assignment","30","A vaccine-manufacturing unit must choose between bacterial and mammalian cell expression systems for a new protein-based vaccine. Using ChatGPT, appraise the trade-offs and recommend a system with justification.","26BIP01_M1_Q17_Vaccine_Expression_CaseFile.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q18","Prokaryote Misconception","Medium","module 1","Assignment","30","Using ChatGPT, critique the common student misconception that ""prokaryotes are simpler and therefore inferior"" to eukaryotes, using examples of prokaryotic metabolic diversity to challenge this view.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q19","Oil Spill Microbe","Medium","module 1","Assignment","30","An environmental agency reports oil-spill cleanup using engineered bacteria. Using ChatGPT, justify why prokaryotic cells were chosen over eukaryotic algae for this task, considering growth rate and genetic engineering ease.","26BIP01_M1_Q19_OilSpill_Bioremediation_Report.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q20","Organelle Classification Blur","Medium","module 1","Assignment","30","Evaluate whether mitochondria and chloroplasts (organelles with prokaryote-like features) blur the line between prokaryotic and eukaryotic classification. Use ChatGPT to build your argument. Submit a 200-word evaluation.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q21","Paneer Contamination Type","Medium","module 1","Assignment","30","A food safety lab found contamination in packaged paneer. Given the microbial profile data (attached), judge whether the contaminant is prokaryotic or eukaryotic and recommend an appropriate control measure, verifying reasoning with ChatGPT.","26BIP01_M1_Q21_Paneer_Contamination_Profile.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q22","Evolutionary Success Metric","Medium","module 1","Assignment","30","Using ChatGPT, appraise which cell type (prokaryotic or eukaryotic) is more evolutionarily ""successful"" by population and habitat range, and defend your metric of success.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q23","Neuron Shape Function","Medium","module 1","Assignment","30","Defend, using ChatGPT, why neurons are structurally suited for long-distance signalling compared to any other human cell type, and predict what would happen if a neuron adopted a cuboidal epithelial shape instead.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q24","Muscle Multinucleation","Medium","module 1","Assignment","30","A sports-medicine clinic in Bengaluru wants to explain to athletes why muscle cells are multinucleated. Using ChatGPT, justify this cellular adaptation in terms of protein synthesis demand during intense training.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q25","Cell Types Dataset","Medium","module 1","Assignment","30","Given a dataset of 25 human cell types with their key structural features (attached), classify each by primary function and defend the two best examples of ""form follows function."" Use ChatGPT to validate your reasoning.","26BIP01_M1_Q25_Human_CellTypes_Dataset.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q26","Root Hair Shape","Medium","module 1","Assignment","30","A plant nursery in Ooty asks why root hair cells have such elongated shapes. Using ChatGPT, defend how this cellular diversity adaptation maximizes water/nutrient absorption efficiency.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q27","Sperm Cell Specialization","Medium","module 1","Assignment","30","Evaluate why sperm cells are among the most morphologically specialized cells in the human body. Using ChatGPT, defend the functional necessity of each specialized feature (flagellum, acrosome, minimal cytoplasm).","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q28","Vet Blood Smear","Medium","module 1","Assignment","30","A veterinary case describes an unusually shaped erythrocyte in a dog's blood smear (attached image description). Using ChatGPT, judge whether this represents normal diversity or pathology, and justify your diagnosis.","26BIP01_M1_Q28_Vet_BloodSmear_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q29","Adipocyte vs Hepatocyte","Medium","module 1","Assignment","30","Compare adipocytes and hepatocytes using ChatGPT and defend which cell type is better designed for long-term energy storage versus short-term metabolic processing.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q30","Melanocyte UV Protection","Medium","module 1","Assignment","30","A cosmetic R&amp;D team wants to understand why melanocytes differ in dendritic shape across skin layers. Using ChatGPT, justify how this cellular diversity relates to UV-protection efficiency.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q31","Plant Cell Support","Medium","module 1","Assignment","30","Given comparative data on plant cell types (parenchyma, collenchyma, sclerenchyma) with wall thickness and function (attached), defend which cell type is best suited for structural support in a tall tree, using ChatGPT to check your logic.","26BIP01_M1_Q31_Plant_CellTypes_Dataset.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q32","Stem Cell Category","Medium","module 1","Assignment","30","Evaluate, using ChatGPT, whether stem cells should be classified as a distinct ""cellular diversity category"" given their unspecialized, adaptable nature. Submit a 200-word position.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q33","Bioluminescence Advantage","Medium","module 1","Assignment","30","A marine biology field report describes bioluminescent cells in deep-sea organisms. Using ChatGPT, defend the evolutionary advantage of this cellular specialization and judge its energy trade-offs.","26BIP01_M1_Q33_Marine_Bioluminescence_Report.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q34","Genome Cell Diversity","Medium","module 1","Assignment","30","Using ChatGPT, critique the idea that ""one genome, one cell type"" — explain how the same genome produces 200+ human cell types, and defend which regulatory mechanism is most critical to this diversity.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q35","Microscopy Tool Choice","Medium","module 1","Assignment","30","A diagnostic lab must choose between light microscopy and electron microscopy to examine a suspected viral infection. Using ChatGPT, defend the appropriate tool choice, considering resolution and sample preparation constraints.","26BIP01_M1_Q35_Diagnostic_Lab_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q36","Phase Contrast Preference","Medium","module 1","Assignment","30","Evaluate why phase-contrast microscopy is preferred over standard brightfield microscopy for observing live, unstained cells. Use ChatGPT to justify your reasoning with a specific research scenario.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q37","Mitochondria Imaging Choice","Medium","module 1","Assignment","30","A research team studying mitochondrial dynamics must select between confocal microscopy and standard fluorescence microscopy. Using ChatGPT, appraise the trade-offs (resolution, photobleaching, cost) and recommend the better tool.","26BIP01_M1_Q37_Mitochondria_Imaging_CaseFile.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q38","Hemocytometer Calculation","Medium","module 1","Assignment","30","Given raw measurement data from a hemocytometer cell count (attached), calculate cell density and defend whether the sample is suitable for a cell-culture experiment requiring a minimum viable density, using ChatGPT to verify your calculations.","26BIP01_M1_Q38_Hemocytometer_Data.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q39","SEM Limitation Critique","Medium","module 1","Assignment","30","Using ChatGPT, critique the limitations of scanning electron microscopy (SEM) for studying internal organelle structure, and justify why transmission electron microscopy (TEM) would be more appropriate.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q40","Cancer Screening Tool","Medium","module 1","Assignment","30","A cancer diagnostics startup wants to detect early-stage abnormal cells cheaply. Using ChatGPT, evaluate whether flow cytometry or traditional microscopy offers better cost-to-accuracy trade-offs for their screening tool.","26BIP01_M1_Q40_Cancer_Screening_Brief.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q41","Fluorescent Staining Defence","Medium","module 1","Assignment","30","Defend, using ChatGPT, why fluorescent staining techniques (like DAPI or GFP-tagging) revolutionized the study of live-cell dynamics compared to older fixed-cell staining methods.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q42","Forensic Sample Age","Medium","module 1","Assignment","30","A forensic team needs to determine the age of a blood sample found at a crime scene using cellular degradation markers. Using ChatGPT, justify which microscopy/staining technique would be most reliable for this analysis.","26BIP01_M1_Q42_Forensic_Sample_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q43","Super-Resolution Tradeoff","Medium","module 1","Assignment","30","Evaluate the resolution limits of light microscopy versus super-resolution microscopy (like STORM/PALM) for visualizing membrane protein clusters. Use ChatGPT to justify when the added cost of super-resolution techniques is worthwhile.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q44","Microscopy Artifact Judge","Medium","module 1","Assignment","30","A student's microscopy image shows unexpected artifacts (attached image description with staining protocol). Using ChatGPT, judge whether the artifact stems from sample preparation error or a genuine biological feature, and justify your diagnosis.","26BIP01_M1_Q44_Microscopy_Artifact_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q45","AFM Membrane Mechanics","Medium","module 1","Assignment","30","Using ChatGPT, appraise why atomic force microscopy (AFM) is uniquely suited for measuring the mechanical properties (stiffness, elasticity) of live cell membranes compared to optical techniques.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q46","Lab Equipment Budget","Medium","module 1","Assignment","30","A university lab is setting up a budget-constrained cell biology teaching lab. Given equipment cost data (attached), recommend a tool combination that balances cost and educational value, justifying your choices using ChatGPT.","26BIP01_M1_Q46_Lab_Equipment_BudgetSheet.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q47","Fluid Mosaic Defence","Medium","module 1","Assignment","30","Using ChatGPT, defend the fluid mosaic model of the plasma membrane against an outdated static ""sandwich model,"" citing specific experimental evidence that supports membrane fluidity.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q48","BBB Drug Delivery","Medium","module 1","Assignment","30","A pharmaceutical team is designing a drug that must cross the blood-brain barrier. Using ChatGPT, evaluate whether passive diffusion or active transport is more feasible for their drug's delivery, given its molecular polarity.","26BIP01_M1_Q48_BBB_Drug_Delivery_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q49","Glucose Transport Defect","Medium","module 1","Assignment","30","A patient's cells show reduced glucose uptake despite adequate blood glucose. Given a case description (attached), judge which membrane transport mechanism is likely defective and justify your diagnosis using ChatGPT.","26BIP01_M1_Q49_Glucose_Transport_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q50","Cholesterol Membrane Fluidity","Medium","module 1","Assignment","30","Evaluate why the plasma membrane's cholesterol content varies between cell types (e.g., RBC vs. neuron) and defend how this affects membrane fluidity and function. Use ChatGPT to support your reasoning.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q51","Fish Osmosis Shift","Medium","module 1","Assignment","30","A saltwater fish is moved to a freshwater tank. Using ChatGPT, defend what happens to its gill cells via osmosis, and justify what compensatory transport mechanism would prevent cell lysis.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q52","Neuron Ion Data","Medium","module 1","Assignment","30","Given ion concentration data across a neuronal membrane (attached), evaluate whether the sodium-potassium pump is functioning correctly, and justify your conclusion about resting membrane potential using ChatGPT.","26BIP01_M1_Q52_Neuron_Ion_Concentration_Data.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q53","Facilitated Diffusion Critique","Medium","module 1","Assignment","30","Critique, using ChatGPT, whether facilitated diffusion should be classified as ""passive"" transport, given that it requires specific protein channels — does this complexity contradict the ""passive"" label?","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q54","Dialysis Fluid Balance","Medium","module 1","Assignment","30","A kidney dialysis patient's cells show abnormal fluid balance. Given clinical transport data (attached), judge which membrane transport process (osmosis, active transport, or both) is disrupted, and recommend a treatment rationale using ChatGPT.","26BIP01_M1_Q54_Dialysis_Patient_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q55","Endocytosis Virus Tradeoff","Medium","module 1","Assignment","30","Evaluate why endocytosis is essential for immune cells (macrophages) but potentially exploited by viruses for cell entry. Use ChatGPT to defend whether this vulnerability is an evolutionary trade-off worth the immune benefit.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q56","Crop Potassium Uptake","Medium","module 1","Assignment","30","A crop scientist in Salem wants root cells to absorb more potassium fertilizer efficiently. Using ChatGPT, recommend whether enhancing active transport pumps or membrane channel density would be more effective, and justify your choice.","26BIP01_M1_Q56_Crop_Fertilizer_Uptake_Brief.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q57","Active Transport Efficiency","Medium","module 1","Assignment","30","Using ChatGPT, appraise the energy efficiency trade-off between primary active transport (ATP-driven pumps) and secondary active transport (co-transport) in maintaining cellular ion gradients.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q58","RBC Tonicity Response","Medium","module 1","Assignment","30","A red blood cell placed in a hypertonic solution is shown shrinking (attached image description with tonicity data). Judge the transport mechanism responsible and defend the physiological consequence, using ChatGPT to confirm your reasoning.","26BIP01_M1_Q58_RBC_Tonicity_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q59","LDL Receptor Endocytosis","Medium","module 1","Assignment","30","Evaluate, using ChatGPT, why receptor-mediated endocytosis is more efficient than bulk-phase endocytosis for a cell needing to selectively absorb LDL cholesterol, and defend the specificity advantage.","","Word, PDF, ZIP, Images, ODS/ODT, Video"
"Q60","Cystic Fibrosis Mechanism","Medium","module 1","Assignment","30","A cystic fibrosis case study describes malfunctioning chloride ion channels (attached). Using ChatGPT, judge how this membrane transport defect leads to the disease's symptoms, and justify the cellular mechanism linking channel dysfunction to mucus thickening.","26BIP01_M1_Q60_CysticFibrosis_Case.docx","Word, PDF, ZIP, Images, ODS/ODT, Video"
